from,to,type,confidence,reason,step
"Method:src/app/labcontrollerservice.cpp:handleHttpConnection","Method:src/app/labcontrollerservice.cpp:processHttpRequest#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:authorizeHttpRequest#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:sendJsonResponse#3","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:submitBundleUnlocked#3","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:queueSnapshotUnlocked#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:jobStatusUnlocked#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:cancelJob#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:agentsSnapshotUnlocked#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processHttpRequest","Method:src/app/labcontrollerservice.cpp:artifactsPayloadUnlocked#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:handleAgentDisconnected","Method:src/app/labcontrollerservice.cpp:updateAgentStatus#4","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:handleAgentDisconnected","Method:src/app/labcontrollerservice.cpp:scheduleJobs#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:readAgentSocket","Method:src/app/labcontrollerservice.cpp:processAgentMessage#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Method:src/app/labcontrollerservice.cpp:connectionStateForSocket#1","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Method:src/app/labcontrollerservice.cpp:insertOrUpdateAgent#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Method:src/app/labcontrollerservice.cpp:sendAgentMessage#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Method:src/app/labcontrollerservice.cpp:scheduleJobs#0","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Method:src/app/labcontrollerservice.cpp:updateAgentHeartbeat#2","CALLS",0.95,"same-file",0
"Method:src/app/labcontrollerservice.cpp:processAgentMessage","Method:src/app/labcontrollerservice.cpp:artifactDirectoryPath#1","CALLS",0.95,"same-file",0
"Method:src/app/labclient.cpp:submit","Method:src/app/labclient.cpp:performJsonRequest#5","CALLS",0.95,"same-file",0
"Method:src/app/labclient.cpp:queue","Method:src/app/labclient.cpp:performJsonRequest#5","CALLS",0.95,"same-file",0
"Method:src/app/labclient.cpp:status","Method:src/ui/src/pathline.cpp:setPath#1","CALLS",0.5,"global",0
"Method:src/app/labclient.cpp:status","Method:src/app/labclient.cpp:performJsonRequest#5","CALLS",0.95,"same-file",0
